key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,2.7453,0,9,9,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,2.6666,0,10,10,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,11.9073,0,11,11,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,4.1426,0,12,12,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,4.4878,0,13,13,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,5.6185,0,14,14,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,right,2.6742,0,15,15,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,3.9445,0,16,16,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,5.4161,0,17,17,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,I dont know what to write here.,man,28,4-6h,2021-12-12_22h00.21.957,bachelor,2021.2.3,Win32,62.32859636,IwAR1gvXC1ZrZBSbECAGy5SRDqcszzcH-AaJ9cqEbCeBCZMWrn8WkBKoUzQAI,,,left,7.2579,0,18,18,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
